AAPL US Equity,Quaterly EPS,Share Price,,NVDA US Equity,Quaterly EPS,Share Price,,MNST US Equity,Quaterly EPS,Share Price,,CELH US Equity,Quaterly EPS,Share Price,,RMS FP Equity,Quaterly EPS,Share Price,,P911 GR Equity,Quaterly EPS,Share Price,,GOOGL US Equity,Quaterly EPS,Share Price,,AMZN US Equity,Quaterly EPS,Share Price,,SMCI US Equity,Quaterly EPS,Share Price
9/24/2005,0.0186,1.605,,7/31/2005,0.0018,0.2068,,9/30/2005,0.0192,0.981,,9/30/2012,-0.0133,0.11,,12/31/2011,2.91,198.511,,,,,,3/31/2010,0.1538,14.157,,9/30/2005,0.0035,2.265,,9/30/2012,0.02,12.03
12/31/2005,0.0243,2.168,,10/30/2005,0.0032,0.2478,,12/31/2005,0.0173,1.642,,12/31/2012,-0.0067,0.067,,6/30/2012,3.22,214.268,,,,,,6/30/2010,0.1445,11.107,,12/31/2005,0.024,2.358,,12/31/2012,0.12,10.2
4/1/2006,0.0175,1.892,,1/29/2006,0.0047,0.3535,,3/31/2006,0.0194,2.626,,3/31/2013,-0.0067,0.08,,12/31/2012,3.89,200.16,,,,,,9/30/2010,0.17,13.125,,3/31/2006,0.006,1.827,,3/31/2013,0.17,11.29
7/1/2006,0.0196,1.727,,4/30/2006,0.0043,0.4467,,6/30/2006,0.0258,3.966,,6/30/2013,-0.0033,0.108,,6/30/2013,3.67,221.493,,,,,,12/31/2010,0.1988,14.827,,6/30/2006,0.0025,1.934,,6/30/2013,0.2,10.64
9/30/2006,0.0225,2.322,,7/30/2006,0.0042,0.3465,,9/30/2006,0.0242,2.707,,9/30/2013,-0.0133,0.173,,12/31/2013,3.92,235.336,,,,,,3/31/2011,0.1397,14.647,,9/30/2006,0.0025,1.606,,9/30/2013,0.18,13.54
12/30/2006,0.0421,2.559,,10/29/2006,0.0033,0.495,,12/31/2006,0.0083,2.807,,12/31/2013,-0.0067,0.113,,6/30/2014,3.96,243.332,,,,,,6/30/2011,0.1942,12.64,,12/31/2006,0.012,1.973,,12/31/2013,0.31,17.16
3/31/2007,0.0321,2.802,,1/28/2007,0.0077,0.4811,,3/31/2007,0.0183,3.157,,3/31/2014,-0.01,0.283,,12/31/2014,4.28,266.175,,,,,,9/30/2011,0.211,12.857,,3/31/2007,0.0135,1.99,,3/31/2014,0.38,17.37
6/30/2007,0.0346,3.681,,4/29/2007,0.0062,0.5055,,6/30/2007,0.0358,3.582,,6/30/2014,-0.0133,0.213,,6/30/2015,4.62,309.2,,,,,,12/31/2011,0.2085,16.123,,6/30/2007,0.0095,3.42,,6/30/2014,0.37,25.27
9/29/2007,0.0357,4.629,,7/29/2007,0.0078,0.6764,,9/30/2007,0.0417,4.723,,9/30/2014,-0.0133,0.167,,12/31/2015,4.6948,288.084,,,,,,3/31/2012,0.222,16.007,,9/30/2007,0.0095,4.658,,9/30/2014,0.46,29.42
12/29/2007,0.0646,6.027,,10/28/2007,0.0105,0.7888,,12/31/2007,0.0408,3.691,,12/31/2014,0,0.167,,6/30/2016,5.22,314.633,,,,,,6/30/2012,0.2135,14.48,,12/31/2007,0.025,4.632,,12/31/2014,0.68,34.88
3/29/2008,0.0446,4.313,,1/27/2008,0.0115,0.5721,,3/31/2008,0.0258,2.942,,9/30/2015,-0.0067,0.7,,12/31/2016,5.3081,364.169,,,,,,9/30/2012,0.166,18.834,,3/31/2008,0.017,3.565,,3/31/2015,0.49,33.21
6/28/2008,0.0457,5.13,,4/27/2008,0.008,0.462,,6/30/2008,0.045,2.402,,12/31/2015,-0.01,0.647,,6/30/2017,5.79,407.537,,,,,,12/31/2012,0.2193,17.658,,6/30/2008,0.019,3.667,,6/30/2015,0.56,29.58
9/27/2008,0.0904,3.868,,7/27/2008,-0.0055,0.2651,,9/30/2008,0.0475,2.521,,3/31/2016,-0.01,0.73,,12/31/2017,5.9052,420.348,,,,,,3/31/2013,0.253,19.825,,9/30/2008,0.014,3.638,,9/30/2015,0.29,27.26
12/27/2008,0.0907,2.588,,10/26/2008,0.0028,0.1516,,12/31/2008,-0.0208,2.794,,6/30/2016,-0.0133,0.763,,6/30/2018,6.78,501.47,,,,,,6/30/2013,0.2425,21.976,,12/31/2008,0.026,2.564,,12/31/2015,0.73,24.51
